"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Grammar-Based Hardware Synthesis of Data Communication Protocols ","ISSS International Symposium Systems Synthesis","10","10_1 A Kumar; Ahmed Hemani ; Johnny &Ouml;berg<","1"
"2","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Specification of Exception Handling in Grammar-Based Hardware Synthesis ","EUROMICRO","10","10_2 A Kumar; Ahmed Hemani ; Johnny &Ouml;berg<","2"
"3","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Scheduling of Outputs in Grammar-based Hardware Synthesis of Data Communication Protocols ","DATE Design Automation and Test Europe","10","10_3 A Kumar; Ahmed Hemani ; Johnny &Ouml;berg<","3"
"4","A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Nick P Tosches ; Perry Miller ; Peter Masiar ; Yang Liu","The TRIPLES database: a community resource for yeast molecular biology ","Nucleic Acids Research","11","11_1 A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Nick P Tosches ; Perry Miller ; Peter Masiar ; Yang Liu<","4"
"5","A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Paulo S R Coelho ; Perry Miller ; Petra Ross-Macdonald","TRIPLES: a database of gene function in Saccharomyces cerevisiae ","Nucleic Acids Research","11","11_2 A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Paulo S R Coelho ; Perry Miller ; Petra Ross-Macdonald<","5"
"6","A Kumar; Kei-Hoi Cheung ; Mark Gerstein ; Michael Snyder ; Perry L Miller ; Yang Liu","An XML Application For Genomic Data Interoperation ","BIBE IEEE International Conference Bioinformatics and Bioengineering","11","11_3 A Kumar; Kei-Hoi Cheung ; Mark Gerstein ; Michael Snyder ; Perry L Miller ; Yang Liu<","6"
"7","A Kumar; Vishv M Malhotra","A Look-Ahead Interpreter for Sequential Prolog and Its Implementation ","FSTTCS Foundations of Software Technology and Theoretical Computer Science","12","12_1 A Kumar; Vishv M Malhotra<","7"
"8","A Kumar; ","A New Computation Rule for Prolog ","Inf Process Lett","12","12_2 A Kumar; <","8"
"9","A Kumar; Manish Kumar Shukla ; P C Mishra ; S K Mishra","An ab initio study of excited states of guanine in the gas phase and aqueous media: Electronic transitions and mechanism of spectral oscillations ","Journal of Computational Chemistry","13","13_1 A Kumar; Manish Kumar Shukla ; P C Mishra ; S K Mishra<","9"
"10","A Kumar; David J Craik ; George C Levy","MOLDYN: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data ","Journal of Chemical Information and Computer Sciences","13","13_2 A Kumar; David J Craik ; George C Levy<","10"
"11","A Kumar; Abhay Chrungoo ; Johara Shahabuddin ; Sandeep Juneja ; Sanjiv Kapoor ; Vishu Gupta","Stream-Packing: Resource Allocation in Web Server Farms with a QoS Guarantee ","HiPC","14","14_1 A Kumar; Abhay Chrungoo ; Johara Shahabuddin ; Sandeep Juneja ; Sanjiv Kapoor ; Vishu Gupta<","11"
"12","A Kumar; Neeran M Karnik ; Vikas Agarwal","Metering and Accounting for Composite e-Services ","CEC","14","14_2 A Kumar; Neeran M Karnik ; Vikas Agarwal<","12"
"13","N Adly; A Kumar;","HPP: A Hierarchical Propagation Protocol for Large Scale Replication in Wide Area Networks,","Seventh International Conference Computing and Information Peterborough","1","1_16 N Adly; A Kumar;<","13"
"14","A Kumar;Noha Adly","HPP: A Reliable Causal Broadcast Protocol for Large-Scale Replication ","Comput J","1","1_17 A Kumar;Noha Adly<","14"
"15","A Kumar; T Camp","A New Matching Algorithm for Managing Location Information in Mobile Computing,","Proceedings of the th IEEE International Conference Performance Computing and Communications IPCCC International Performance Computing and Communications Conference","1","1_50 A Kumar; T Camp<","15"
"16","A Basu ; A Kumar","Research Commentary: Workflow Management Systems in e-Business,","Information Systems Research","1","1_18 A Basu ; A Kumar<","16"
"17","A Kumar","A New Approach for Conflict Resolution and Rule Processing in a Knowledge-Based System,","Proceedings of the Eleventh International Conference Information Systems Copenhagen","1","1_51 A Kumar<","17"
"18","A Kumar;Shun Yan Cheung","Efficient Quorumcast Routing Algorithms ","INFOCOM The Conference Computer Communications","1","1_19 A Kumar;Shun Yan Cheung<","18"
"19","A Kumar;","New Techniques for data reduction in database systems for knowledge discovery applications,","Journal of Intelligent Information Systems","1","1_52 A Kumar;<","19"
"20","A Kumar; L Zhao","Workflow Support for Electronic Commerce Applications,","Decision Support Systems","1","1_53 A Kumar; L Zhao<","20"
"21","A Kumar","Zigzag Path-Based Matching Algorithms for High Availability and Load Balancing,"," manuscript","1","1_54 A Kumar<","21"
"22","A Kumar; M Stonebraker","Performance Considerations for an Operating System Transaction Manager,","IEEE Transactions Software Engineering","1","1_55 A Kumar; M Stonebraker<","22"
"23","A Kumar; M Stonebraker","Performance Evaluation of an Operating System Transaction Manager,","Proceedings of the Thirteenth International VLDB Very Large Data Bases Very Large Databases Conference U K","1","1_56 A Kumar; M Stonebraker<","23"
"24","A Kumar","Performance Analysis of a Hierarchical Quorum Consensus Algorithm for Replicated Objects,","Proceedings of the Tenth IEEE International Conference Distributed Computing Systems","1","1_57 A Kumar<","24"
"25","A Kumar;J Leon Zhao","Data Management Issues for Large Scale, Distributed Workflow Systems on the Internet ","DATA BASE","1","1_90 A Kumar;J Leon Zhao<","25"
"26","A Kumar; M Rabinovich; R Sinha","A Performance Study of General Grid Structures for Replicated Data,","IEEE International Conference Distributed Computing Systems","1","1_58 A Kumar; M Rabinovich; R Sinha<","26"
"27","L Zhao; A Kumar; E Stohr","A Dynamic Grouping Technique for Distributing Codified- Knowledge in Large Organizations,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Sydney","1","1_91 L Zhao; A Kumar; E Stohr<","27"
"28","A Kumar; M Stonebraker","Operating System Support for Data Management,","IEEE Data Engineering","1","1_59 A Kumar; M Stonebraker<","28"
"29","A Kumar;J Leon Zhao","A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","1_92 A Kumar;J Leon Zhao<","29"
"30","L Zhao; A Kumar; E A Stohr","Workflow-centric Information Distribution through Email,","Journal of Management Information Systems Winter","1","1_93 L Zhao; A Kumar; E A Stohr<","30"
"31","L Zhao; A Kumar; E Stohr","A Workflow-centric Study of Organizational Knowledge Distribution,"," rd International Conference Systems Sciences","1","1_94 L Zhao; A Kumar; E Stohr<","31"
"32","A Kumar;J Leon Zhao","EROICA: A Rule-Based Approach to Organizational Policy Management in Workflow Systems ","WAIM Web Age Information Management","1","1_95 A Kumar;J Leon Zhao<","32"
"33","S Y Cheung; A Kumar","Efficient Solution Techniques for the Quorumcast Problem,","Proceedings of IEEE Infocom Toronto","1","1_20 S Y Cheung; A Kumar<","33"
"34","A Kumar;Shun Yan Cheung","A High Availability \sqrt{N} Hierarchical Grid Algorithm for Replicated Data ","Inf Process Lett","1","1_21 A Kumar;Shun Yan Cheung<","34"
"35","V Christophides; R Hull; G Karvounarakis; A Kumar; G Tong; M Xiong ","Beyond Discrete E-Services","Composing Session-Oriented Services in Telecommunications","1","1_22 V Christophides; R Hull; G Karvounarakis; A Kumar; G Tong; M Xiong <","35"
"36","V Christophides; R Hull; A Kumar","Querying and Splicing of Workflows,","Sixth International Conference Cooperative Information Systems CoopIS Cooperation with VLDB Very Large Data Bases Trento","1","1_23 V Christophides; R Hull; A Kumar<","36"
"37","V Christophides; R Hull; A Kumar; J Simeon","Workflow mediation using VorteXML,","IEEE Data Engineering Bulletin","1","1_24 V Christophides; R Hull; A Kumar; J Simeon<","37"
"38","A Kumar;Richard Hull ; Vassilis Christophides","Querying and Splicing of XML Workflows ","CoopIS","1","1_25 A Kumar;Richard Hull ; Vassilis Christophides<","38"
"39","R Hull; A Kumar; J Simeon","Smart Supply Web: An application of Web-based data and workflow mediation, Workshop on Technologies for E-Services VLDB-TES Workshop , Cairo, September ","","1","1_26 R Hull; A Kumar; J Simeon<","39"
"40","A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull ; Vassilis Christophides","Workflow Mediation using VorteXML ","IEEE Data Eng Bull","1","1_27 A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull ; Vassilis Christophides<","40"
"41","A Kumar; A Segev","Optimizing Voting-Type Algorithms for Replicated Data,","Lecture Notes Computer Science J W Schmidt S Ceri and M Misekoff eds Springer Verlag Proceedings of the First International Conference Extending Database Technology","1","1_60 A Kumar; A Segev<","41"
"42","A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull","Smart supply web: an application of web-based data and workflow mediation ","TES Technologies for E Services","1","1_28 A Kumar;J&eacute;r&ocirc;me Sim&eacute;on ; Richard Hull<","42"
"43","A Kumar ; A Segev","Optimizing and Evaluating Algorithms for Replicated Data Concurrency Control,","Proceedings of the Ninth IEEE International Conference Distributed Computing Systems Beach Computer Animation","1","1_61 A Kumar ; A Segev<","43"
"44","A Kumar","A Crash Recovery Algorithm Based on Multiple Logs that Exploits Parallelism,","Proceedings of the Second IEEE Symposium Parallel and Distributed Processing","1","1_29 A Kumar<","44"
"45","A Kumar; K Malik","Optimizing the Costs of Hierarchical Quorum Consensus,","Acta Informatica","1","1_62 A Kumar; K Malik<","45"
"46","A Kumar; L Zhao","Architectures and Techniques for Large-Scale, Distributed Workflow Management on the Internet,","Workshop Information Technology and Systems","1","1_63 A Kumar; L Zhao<","46"
"47","A Kumar;Kumar; A ; Zhao; L ","EROICA: A Rule-based Approach to Organizational Policy Management in Workflow Systems,","WAIM Web Age Information Management Conference Beijing","1","1_64 A Kumar;Kumar; A ; Zhao; L <","47"
"48","A Kumar","Organizing an Optimal Hierarchy of Web Pages Based on Access Frequency,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Barcelona","1","1_65 A Kumar<","48"
"49","A Kumar","A Randomized Voting Algorithm,","Proceedings of the Eleventh IEEE International Conference Distributed Systems","1","1_66 A Kumar<","49"
"50","A Kumar","A randomized algorithm for distributed consensus,","IEEE Symposium Reliable Distributed Systems Purdue University W","1","1_67 A Kumar<","50"
"51","A Kumar; M Stonebraker","Semantics Based Transaction Management Techniques for Replicated Data,","Proceedings ACM SIGMOD International Conference Management of Data Special Interest Group Management of Data Conference","1","1_68 A Kumar; M Stonebraker<","51"
"52","A Kumar; I Olmeda;","A Study of Composite classifiers for knowledge discovery,","INFORMS Journal Computing Volume Summer","1","1_69 A Kumar; I Olmeda;<","52"
"53","A Kumar; A Segev;","Cost and Availability Tradeoffs in Replicated Data Concurrency Control,","ACM Transactions Database Systems","1","1_30 A Kumar; A Segev;<","53"
"54","A Kumar; W M P van der Aalst; H M W Verbeek","Dynamic Work Distribution in Workflow Management Systems: How to balance quality and performance?","Journal of MIS Workshop Multimedia Information Systems Winter","1","1_31 A Kumar; W M P van der Aalst; H M W Verbeek<","54"
"55","A Kumar; L Zhao","Dynamic Routing and Operational Controls in a Workflow Management System,","Management Science Volume","1","1_32 A Kumar; L Zhao<","55"
"56","A Kumar; L Zhao","A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System,"," th International Conference Systems Sciences","1","1_33 A Kumar; L Zhao<","56"
"57","A Kumar;Kumar; A ","A Framework for handling delegation in Workflow Management Systems,","Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems","1","1_34 A Kumar;Kumar; A <","57"
"58","A Kumar","Global Coordination through Local Exchanges and Randomization,"," manuscript","1","1_35 A Kumar<","58"
"59","A Kumar","G-Tree: A New Data Structure for Organizing Multi-dimensional Data,","IEEE Transactions Knowledge and Data Engineering","1","1_36 A Kumar<","59"
"60","A Kumar; S Y Cheung","A High Availability Sqrt N Hierarchical Grid Algorithm for Replicated Data,","Information Processing Letters","1","1_37 A Kumar; S Y Cheung<","60"
"61","A Kumar;","A Study of Spatial Clustering Techniques,","Lecture notes Computer Science Springer Verlag Proceedings of the Fifth International DEXA Database and Expert Systems Applications conference","1","1_70 A Kumar;<","61"
"62","A Kumar; N Adly","HPP: A Reliable Causal Broadcast Protocol for Large Scale Replication in Wide Area Networks,","Computer Journal Volume","1","1_38 A Kumar; N Adly<","62"
"63","A Kumar","Techniques for Indexing Large Numbers of Rules and Constraints in a Database System,","Proceedings of the Fourth International Conference Database and Expert System Applications DEXA Database and Expert Systems Applications Valencia Springer Verlag Publishers","1","1_71 A Kumar<","63"
"64","A Kumar;","Hierarchical Quorum Consensus: A New Algorithm for Managing Replicated Data,","IEEE Transaction Computers","1","1_39 A Kumar;<","64"
"65","A Kumar; M Stonebraker","The Effect of Join Selectivity on Optimal Nesting Order,","ACM SIGMOD International Conference Management of Data Special Interest Group Management of Data Record","1","1_72 A Kumar; M Stonebraker<","65"
"66","A Kumar;","G-Tree: A New Data Structure for Organizing Multidimensional Data ","IEEE Trans Knowl Data Eng","1","1_1 A Kumar;<","66"
"67","R Emily Liu ; A Kumar","Leveraging Information Sharing to Increase Supply Chain Configurability,","Proceedings of the Twenty Fourth International Conference Information Systems forthcoming","1","1_73 R Emily Liu ; A Kumar<","67"
"68","A Kumar;","Hierarchical Quorum Consensus: A New Algorithm for Managing Replicated Data ","IEEE Trans Computers","1","1_2 A Kumar;<","68"
"69","A Kumar;Kavindra Malik","Optimizing the Costs of Hierarchical Quorum Consensus ","Acta Inf","1","1_74 A Kumar;Kavindra Malik<","69"
"70","A Kumar;","An efficient algorithm for solving the partial sum query problem ","Inf Sci","1","1_3 A Kumar;<","70"
"71","A Kumar;Michael Rabinovich ; Rakesh K Sinha","A Performance Study of General Grid Structures for Replicated Data ","ICDCS International Conference Distributed Computing Systems","1","1_75 A Kumar;Michael Rabinovich ; Rakesh K Sinha<","71"
"72","A Kumar;","An Efficient SuperGrid Protocol for High Availability and Load Balancing ","IEEE Trans Computers","1","1_4 A Kumar;<","72"
"73","A Kumar;Arie Segev","Cost and Availability Tradeoffs in Replicated Data Concurrency Control ","ACM Trans Database Syst","1","1_76 A Kumar;Arie Segev<","73"
"74","A Kumar;","An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment ","ICDE International Conference Data Engineering","1","1_5 A Kumar;<","74"
"75","A Kumar;Arie Segev","Optimizing Voting-Type Algorithms for Replicated Data ","EDBT Extending Database Technology","1","1_77 A Kumar;Arie Segev<","75"
"76","A Kumar;","New Techniques for Data Reduction in a Database System for Knowledge Discovery Applications ","J Intell Inf Syst","1","1_6 A Kumar;<","76"
"77","A Kumar;Arie Segev","Optimization And Evaluating Algorithms for Replicated Data Concurrency Control ","ICDCS International Conference Distributed Computing Systems","1","1_78 A Kumar;Arie Segev<","77"
"78","A Kumar;","Performance Analysis of Hierarchical Quorum Consensus Algorithm for Replicated Objects ","ICDCS International Conference Distributed Computing Systems","1","1_7 A Kumar;<","78"
"79","A Kumar;","A Randomized Algorithm for Distributed Consensus ","Symposium Reliable Distributed Systems","1","1_8 A Kumar;<","79"
"80","A Kumar;Edward A Stohr ; J Leon Zhao","A Workflow-Centric Study of Organizational Knowledge Distribution ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","1_79 A Kumar;Edward A Stohr ; J Leon Zhao<","80"
"81","A Kumar;","A Study of Spatial Clustering techniques ","DEXA Database and Expert Systems Applications","1","1_9 A Kumar;<","81"
"82","A Kumar; I Olmeda","Hybrid Classifiers for Knowledge Discovery,","Proceedings INFORMS Conference Information Systems and Technology San Diego","1","1_40 A Kumar; I Olmeda<","82"
"83","A Kumar; K Malik","Voting Mechanisms in Distributed Systems,","IEEE Transactions Reliability","1","1_41 A Kumar; K Malik<","83"
"84","A Kumar; W Muhanna; R Patterson","Mean-Variance Analysis of the Performance of Spatial Clustering Methods,","International Journal of Geographical Information Sciences","1","1_42 A Kumar; W Muhanna; R Patterson<","84"
"85","A Kumar; L Zhao","XRL: An Extensible Routing Language for Electronic Commerce Applications,","International Conference Telecommunications and Electronic ICTEC Nashville","1","1_43 A Kumar; L Zhao<","85"
"86","A Kumar; J Wainer; Z Zhang","Meta-workflows and ESP: A Framework for Coordination, Exception Handling, and Adaptability in Workflow Systems,","CAiSE Workshop Web Services e Business and the Semantic Web WES Web Services E Business and the Semantic Web Proceedings to be published by Springer Verlag publishers","1","1_44 A Kumar; J Wainer; Z Zhang<","86"
"87","A Kumar","An Efficient Algorithm for Solving the Partial Sum Query Problem,","Information Sciences","1","1_45 A Kumar<","87"
"88","A Kumar","An Efficient SuperGrid Protocol for High Availability and Load Balancing","IEEE Transactions Computers Volume","1","1_46 A Kumar<","88"
"89","A Kumar; V Rao ; H Soni","An Empirical Comparison of Neural Networks and Logistic Regression Methods,","Marketing Letters","1","1_47 A Kumar; V Rao ; H Soni<","89"
"90","A Kumar;Michael Stonebraker","Performance Considerations for an Operating System Transaction Manager ","IEEE Trans Software Eng","1","1_80 A Kumar;Michael Stonebraker<","90"
"91","A Kumar;","A New algorithm for Distributed Consensus,","Distributed and Parallel Databases","1","1_48 A Kumar;<","91"
"92","A Kumar;Michael Stonebraker","Performance Evaluation of an Operating System Transaction Manager ","VLDB Very Large Data Bases","1","1_81 A Kumar;Michael Stonebraker<","92"
"93","A Kumar","An Analysis of Borrowing Policies for Escrow Transactions in a Replicated Data Environment,","Proceedings of the Sixth IEEE International Conference Data Engineering Los Angeles Computer Animation","1","1_49 A Kumar<","93"
"94","A Kumar;Michael Stonebraker","Operating System Support for Data Management ","IEEE Database Eng Bull","1","1_82 A Kumar;Michael Stonebraker<","94"
"95","A Kumar;Michael Stonebraker","Semantics Based Transaction Management Techniques for Replicated Data ","SIGMOD International Conference Management of Data Conference","1","1_83 A Kumar;Michael Stonebraker<","95"
"96","A Kumar;Michael Stonebraker","The Effect of Join Selectivities on Optimal Nesting Order ","SIGMOD International Conference Management of Data Record","1","1_84 A Kumar;Michael Stonebraker<","96"
"97","A Kumar;Geliang Tong ; Gregory Karvounarakis ; Ming Xiong ; Richard Hull ; Vassilis Christophides","Beyond Discrete E-Services: Composing Session-Oriented Services in Telecommunications ","TES Technologies for E Services","1","1_85 A Kumar;Geliang Tong ; Gregory Karvounarakis ; Ming Xiong ; Richard Hull ; Vassilis Christophides<","97"
"98","H M W Verbeek; W M P van der Aalst ; A Kumar; XRL/Woflan","Verification and Extensibility of an XML/Petri-net-based language for inter-organizational workflows,","Information Technology and Management","1","1_86 H M W Verbeek; W M P van der Aalst ; A Kumar; XRL/Woflan<","98"
"99","A Kumar;H M W Erik Verbeek ; Wil M P van der Aalst","Organizational Modeling in UML and XML in the Context of Workflow Systems ","SAC Selected Areas Cryptography","1","1_87 A Kumar;H M W Erik Verbeek ; Wil M P van der Aalst<","99"
"100","J Wainer; P Barthelmess; A Kumar","W-RBAC - A workflow security model incorporating controlled overriding of constraints,","International Journal Cooperative Information Systems forthcoming","1","1_88 J Wainer; P Barthelmess; A Kumar<","100"
"101","J Wainer; P Barthelmess; A Kumar","Security Management in the presence of delegation and revocation in workflow system,"," for publication","1","1_89 J Wainer; P Barthelmess; A Kumar<","101"
"102","A Kumar;","Techniques for Indexing Large Numbers of Constraints and Rules in a Database System ","DEXA Database and Expert Systems Applications","1","1_10 A Kumar;<","102"
"103","W M P van der Aalst; H M W Verbeek; A Kumar","Verification of XRL: An XML-based Workflow Language,","Proceedings of the Sixth International Conference Computer Supported Cooperative Work Design","1","1_11 W M P van der Aalst; H M W Verbeek; A Kumar<","103"
"104","W M P van der Aalst; A Kumar","XML Based Schema Definition for Support of Inter-organizational Workflow,","Information Systems Research","1","1_12 W M P van der Aalst; A Kumar<","104"
"105","W M P van der Aalst; H M W Verbeek; A Kumar","XRL/Woflan: Verification and extensibility of an XML/Petri-net based language for inter-organizational workflows,","Proceedings of the th Informs Conference Information Systems and Technology CIST Beach This paper received the best paper award at the conference Full version of this paper is also available","1","1_13 W M P van der Aalst; H M W Verbeek; A Kumar<","105"
"106","W M P van der Aalst; A Kumar","A Reference Model for Team-Enabled Workflow Management Systems,","Data and Knowledge Engineering","1","1_14 W M P van der Aalst; A Kumar<","106"
"107","W M P van der Aalst; A Kumar; H M W Verbeek","Organizational Modeling in UML and XML in the context of Workflow Systems,","ACM Symposium Applied Computing","1","1_15 W M P van der Aalst; A Kumar; H M W Verbeek<","107"
"108","A Kumar; ","Intelligent Traffic Engineering of Internets: Towards a Model-Based Approach ","HiPC","2","2_1 A Kumar; <","108"
"109","A Kumar; Flavio Bonomi","Adaptive Load Balancing in a Multi-Processor System with a Central Job Scheduler ","Computer Performance and Reliability","2","2_2 A Kumar; Flavio Bonomi<","109"
"110","A Kumar; Flavio Bonomi","Adaptive Optimal Load Balancing in a Heterogeneous Multiserver System with a Central Job Scheduler ","ICDCS International Conference Distributed Computing Systems","2","2_3 A Kumar; Flavio Bonomi<","110"
"111","A Kumar; Flavio Bonomi","Adaptive Optimal Load Balancing in a Nonhomogeneous Multiserver System with a Central Job Scheduler ","IEEE Trans Computers","2","2_4 A Kumar; Flavio Bonomi<","111"
"112","A Kumar; ","Adaptive Load Control of the Central Processor in a Distributed System with a Star Topology ","IEEE Trans Computers","2","2_5 A Kumar; <","112"
"113","A Kumar; B T Doshi ; Flavio Bonomi ; J S Kaufman ; T P Lee","A Case Study of an Adaptive Load Balancing Algorithm ","Queueing Syst","2","2_6 A Kumar; B T Doshi ; Flavio Bonomi ; J S Kaufman ; T P Lee<","113"
"114","A Kumar; Manish Gupta ; Rajeev Shorey","Queueing Models and Stability of Message Flows in Distributed Simulators of Open Queueing Networks ","Workshop Parallel and Distributed Simulation","2","2_7 A Kumar; Manish Gupta ; Rajeev Shorey<","114"
"115","A Kumar; Manish Gupta","A Nonblocking Algorithm for the Distributed Simulation of FCFS Queueing Networks with Irreducible Markovian Routing ","Workshop Parallel and Distributed Simulation","2","2_8 A Kumar; Manish Gupta<","115"
"116","A Kumar; Rajeev Shorey","Performance Analysis and Scheduling of Stochastic Fork-Join Jobs in a Multicomputer System ","IEEE Trans Parallel Distrib Syst","2","2_9 A Kumar; Rajeev Shorey<","116"
"117","A Kumar; Kiran M Rege ; Rajeev Shorey","Instability and Performance Limits of Distributed Simulators of Feedforward Queueing Networks ","ACM Trans Model Comput Simul","2","2_10 A Kumar; Kiran M Rege ; Rajeev Shorey<","117"
"118","A Kumar; Srikrishna Kurapati","Optimal Scheduling of a Processor Executing a Communication Protocol Stack ","NETWORKS","2","2_11 A Kumar; Srikrishna Kurapati<","118"
"119","A Kumar; S V R Anand ; T V J Ganesh Babu","Comparative Performance of Queueing Strategies for LAN - WAN Routers in Packet Data Networks ","NETWORKS","2","2_12 A Kumar; S V R Anand ; T V J Ganesh Babu<","119"
"120","A Kumar; Natwar Modani ; Parijat Dube","Measurement Based Optimal Source Shaping with a Shaping+Multiplexing Delay Constraint ","INFOCOM The Conference Computer Communications","2","2_13 A Kumar; Natwar Modani ; Parijat Dube<","120"
"121","A Kumar; Santosh Paul Abraham","A Stochastic Approximation Approach for Max-Min Fair Adaptive Rate Control of ABR Sessions with MCRs ","INFOCOM The Conference Computer Communications","2","2_14 A Kumar; Santosh Paul Abraham<","121"
"122","A Kumar; Arzad Kherani","Stochastic Models for Throughput Analysis of Randomly Arriving Elastic Flows in the Internet ","INFOCOM The Conference Computer Communications","2","2_15 A Kumar; Arzad Kherani<","122"
"123","A Kumar; Arzad Kherani","Closed Loop Analysis of the Bottleneck Buffer under Adaptive Window Controlled Transfer of HTTP-Like Traffic ","INFOCOM The Conference Computer Communications","2","2_16 A Kumar; Arzad Kherani<","123"
"124","A Kumar; Munish Goyal ; Vinod Sharma","Power Constrained and Delay Optimal Policies for Scheduling Transmission over a Fading Channel ","INFOCOM The Conference Computer Communications","2","2_17 A Kumar; Munish Goyal ; Vinod Sharma<","124"
